Image_Index, Avg_Start_Offset, Avg_End_Offset
985, 31.709, 11.460
986, 2.082, 6.546
987, 5.891, 9.241
988, 1.899, 1.885
989, 1.934, 3.906
990, 3.074, 1.123
991, 2.179, 1.160
992, 8.837, 19.119
993, 1.469, 2.031
994, 2.103, 1.422
995, 1.664, 0.683
996, 1.212, 2.299
997, 17.358, 5.857
998, 3.394, 2.093
999, 2.804, 12.842
1000, 3.230, 12.028
1001, 7.242, 11.095
1002, 1.562, 0.471
1003, 16.287, 11.844
1004, 2.212, 4.741
1005, 12.998, 59.121
1006, 0.526, 1.888
1007, 5.695, 2.065
1008, 1.008, 2.217
1009, 18.586, 11.899
1010, 2.982, 2.396
1011, 3.164, 9.338
1012, 0.788, 3.092
1013, 3.921, 1.994
1014, 92.288, 7.017
1015, 37.140, 13.972
1016, 0.935, 4.107
1017, 5.793, 60.378
1018, 1.645, 1.689
1019, 1.165, 1.311
1020, 1.746, 2.309
1021, 1.126, 2.706
1022, 1.187, 1.485
1023, 2.429, 0.857
1024, 0.848, 1.875
1025, 1.933, 0.948
1026, 1.927, 1.931
1027, 1.426, 2.036
1028, 2.197, 0.850
1029, 2.224, 4.035
1030, 1.641, 0.410
1031, 31.963, 25.253
1032, 0.719, 2.338
1033, 63.100, 26.660
1034, 1.936, 0.533
1035, 30.959, 21.080
1036, 0.681, 2.344
1037, 11.069, 7.747
1038, 3.773, 1.773
1039, 8.484, 11.318
1040, 2.534, 6.486
1041, 2.614, 2.602
1042, 11.058, 5.125
1043, 1.933, 3.862
1044, 1.026, 1.810
1045, 42.890, 57.031
1046, 22.942, 4.880
1047, 2.029, 1.256
1048, 9.438, 21.455
1049, 26.857, 9.413
1050, 40.065, 34.140
1051, 3.486, 9.174
1052, 1.508, 3.042
1053, 2.928, 18.333
1054, 3.660, 2.021
1055, 20.079, 8.711
1056, 7.531, 12.770
1057, 4.278, 6.191
1058, 5.342, 2.667
1059, 2.099, 5.264
1060, 1.169, 1.052
1061, 0.822, 1.050
1062, 0.938, 0.861
1063, 0.451, 0.984
1064, 24.924, 6.646
1065, 2.798, 26.685
1066, 0.615, 1.068
1067, 15.338, 6.572
1068, 15.401, 38.601
1069, 1.757, 0.761
1070, 2.588, 1.294
1071, 0.547, 3.171
1072, 1.935, 1.944
1073, 2.376, 0.670
1074, 0.970, 2.282
1075, 2.563, 1.237
1076, 0.397, 3.038
1077, 1.898, 3.015
1078, 2.727, 0.923
1079, 0.840, 2.928
1080, 0.674, 2.680
1081, 28.004, 23.374
1082, 0.825, 1.903
1083, 32.116, 28.893
1084, 37.375, 8.772
1085, 0.725, 1.133
1086, 25.055, 13.707
1087, 0.295, 2.246
1088, 0.222, 3.391
1089, 0.410, 2.566
1090, 1.808, 1.527
1091, 3.388, 0.378
1092, 1.851, 1.575
1093, 1.362, 2.456
1094, 2.846, 0.503
1095, 2.297, 1.105
1096, 6.297, 4.480
1097, 1.179, 1.177
1098, 0.765, 1.107
1099, 0.549, 1.613
1100, 2.193, 1.944
1101, 1.162, 2.226
1102, 1.884, 0.776
1103, 5.031, 4.289
1104, 2.001, 1.445
1105, 25.982, 3.939
1106, 14.829, 36.666
1107, 0.998, 0.802
1108, 0.609, 0.992
1109, 0.780, 0.509
1110, 0.613, 2.035
1111, 6.646, 22.484
1112, 7.506, 11.030
1113, 11.686, 2.815
1114, 7.031, 33.962
1115, 2.408, 3.530
1116, 6.317, 3.992
1117, 81.376, 37.271
1118, 7.967, 47.579
1119, 5.701, 6.209
1120, 6.462, 9.805
1121, 79.926, 17.886
1122, 3.445, 121.449
1123, 12.327, 6.214
1124, 2.752, 8.099
1125, 0.625, 1.287
1126, 2.048, 1.112
1127, 3.768, 1.469
1128, 1.498, 1.867
1129, 3.640, 1.244
1130, 1.588, 2.953
1131, 1.110, 0.750
1132, 1.012, 1.332
1133, 30.420, 36.573
1134, 2.486, 3.431
1135, 34.455, 13.855
1136, 1.622, 6.061
1137, 0.788, 1.580
1138, 1.369, 1.589
1139, 8.305, 7.626
1140, 1.792, 1.970
1141, 106.627, 65.103
1142, 2.511, 8.747
