Image_Index, Avg_Start_Offset, Avg_End_Offset
768, 22.569, 11.316
769, 2.892, 7.088
770, 22.709, 22.264
771, 14.144, 22.958
772, 55.595, 13.124
773, 22.929, 6.177
774, 5.693, 20.792
775, 37.676, 15.285
776, 5.881, 1.905
777, 53.601, 16.003
778, 18.311, 6.370
779, 31.288, 10.611
780, 23.854, 31.341
781, 2.980, 5.243
782, 12.396, 15.710
783, 5.892, 4.487
784, 34.911, 19.300
785, 23.625, 24.164
786, 7.657, 39.533
787, 6.832, 3.801
788, 16.487, 3.782
789, 15.996, 3.702
790, 0.650, 1.593
791, 5.157, 14.938
792, 0.913, 3.107
793, 5.318, 5.380
794, 1.843, 1.014
795, 16.736, 4.120
796, 1.373, 4.439
797, 14.734, 3.752
798, 6.287, 1.025
799, 6.023, 15.957
800, 1.294, 2.127
801, 12.684, 13.088
802, 1.597, 1.406
803, 12.814, 11.694
804, 2.544, 3.846
805, 12.894, 23.308
806, 27.015, 38.945
807, 4.350, 1.746
808, 26.680, 5.977
809, 5.072, 15.688
810, 7.500, 1.234
811, 70.668, 115.386
812, 2.177, 1.452
813, 9.746, 12.762
814, 75.388, 99.943
815, 1.239, 1.997
816, 13.687, 6.632
817, 22.366, 39.216
818, 7.327, 9.090
819, 2.000, 1.916
820, 3.262, 6.314
821, 3.222, 1.886
822, 7.337, 2.733
823, 5.711, 21.037
824, 8.285, 17.736
825, 4.653, 4.204
826, 2.328, 1.744
827, 4.253, 4.672
828, 5.785, 20.907
829, 16.407, 13.948
830, 4.341, 17.560
831, 3.060, 1.699
832, 2.582, 5.469
833, 4.538, 5.727
834, 20.788, 7.439
835, 2.122, 2.039
836, 0.954, 2.397
837, 14.182, 3.719
838, 1.586, 3.873
839, 2.892, 3.619
840, 3.538, 2.302
841, 14.072, 5.093
842, 0.863, 1.021
843, 5.354, 10.957
844, 5.305, 5.666
845, 15.873, 3.092
846, 3.969, 28.380
847, 4.740, 13.469
848, 2.723, 1.487
849, 6.049, 18.066
850, 9.968, 2.366
851, 12.744, 30.859
852, 6.508, 2.805
853, 0.942, 1.443
854, 21.715, 10.092
855, 3.725, 9.277
856, 2.483, 6.932
857, 10.331, 29.219
858, 1.671, 2.885
859, 0.664, 2.366
860, 1.728, 9.657
861, 1.813, 1.719
862, 0.780, 0.981
863, 4.126, 7.205
864, 3.657, 5.742
865, 2.206, 1.997
866, 6.149, 30.480
867, 2.452, 12.188
868, 13.578, 5.185
869, 9.804, 28.142
870, 4.732, 9.531
871, 1.769, 4.497
872, 31.877, 6.266
873, 1.078, 0.681
874, 0.833, 2.809
875, 16.548, 2.443
876, 2.619, 4.077
877, 8.036, 2.953
878, 29.555, 3.872
879, 3.986, 2.484
880, 1.559, 2.534
881, 4.862, 4.291
882, 2.363, 1.345
883, 2.294, 1.277
884, 4.022, 4.598
885, 2.339, 1.922
886, 3.140, 1.600
887, 8.141, 2.857
888, 57.947, 22.901
889, 13.137, 28.839
890, 65.086, 26.118
891, 81.077, 33.969
892, 12.067, 16.921
893, 2.223, 2.135
894, 0.780, 1.375
895, 53.372, 48.777
896, 2.557, 11.245
897, 91.547, 81.107
898, 3.658, 6.196
899, 21.111, 101.497
900, 13.342, 76.935
901, 54.008, 94.469
902, 21.991, 18.291
903, 10.834, 2.739
904, 2.365, 10.388
905, 8.833, 2.014
906, 20.974, 41.161
907, 2.820, 3.654
908, 21.482, 9.899
909, 7.274, 3.365
910, 7.072, 5.417
911, 3.854, 1.169
912, 3.496, 2.391
913, 10.388, 1.027
914, 5.677, 10.504
915, 38.420, 70.903
916, 126.077, 62.170
917, 15.735, 34.089
918, 79.753, 15.835
919, 10.764, 32.872
920, 60.529, 14.733
921, 15.364, 36.437
922, 69.825, 28.472
923, 56.141, 73.026
924, 30.756, 21.737
925, 17.877, 39.868
926, 30.536, 24.338
927, 4.015, 13.255
928, 8.104, 67.902
929, 75.377, 35.657
930, 11.121, 14.695
931, 61.772, 42.979
932, 12.182, 12.242
933, 11.652, 14.660
934, 16.672, 9.194
935, 80.836, 78.568
936, 52.754, 15.206
937, 9.835, 28.267
938, 4.378, 15.754
939, 20.003, 44.752
940, 54.828, 10.233
941, 13.334, 12.460
942, 16.986, 19.750
943, 65.180, 41.231
944, 27.048, 46.433
945, 60.885, 25.436
946, 44.478, 45.863
947, 7.276, 35.752
948, 2.624, 1.084
949, 3.456, 6.771
950, 6.802, 10.071
951, 3.052, 1.704
952, 3.445, 2.970
953, 44.364, 81.297
954, 57.563, 33.019
955, 7.276, 0.737
956, 1.812, 8.617
957, 3.836, 1.306
958, 1.726, 4.234
959, 0.459, 2.301
960, 47.223, 14.413
961, 13.458, 29.374
962, 79.978, 68.588
963, 83.995, 51.509
964, 27.102, 65.586
965, 61.895, 46.588
966, 9.239, 66.668
967, 106.501, 77.412
968, 6.148, 14.300
969, 102.913, 33.059
970, 7.440, 4.772
971, 12.285, 44.476
972, 38.322, 113.472
973, 56.813, 13.540
974, 16.523, 9.294
975, 2.011, 14.719
976, 43.729, 58.372
977, 11.003, 7.644
978, 9.919, 10.969
979, 45.373, 21.132
980, 47.696, 45.710
981, 32.682, 39.886
982, 9.778, 11.966
983, 5.126, 7.858
984, 38.092, 15.503
985, 4.441, 8.813
986, 10.716, 14.212
987, 30.472, 44.292
988, 34.041, 39.724
989, 50.697, 14.672
990, 16.866, 16.852
991, 2.076, 2.804
992, 21.668, 62.041
993, 1.941, 8.524
994, 45.100, 32.626
995, 16.394, 25.746
996, 16.758, 13.074
997, 8.455, 9.910
998, 35.073, 63.141
999, 9.434, 12.870
1000, 11.486, 31.298
1001, 57.723, 92.134
1002, 103.115, 56.704
1003, 68.940, 54.194
1004, 1.955, 4.329
1005, 20.455, 93.890
1006, 10.761, 28.836
1007, 28.422, 14.093
1008, 1.937, 5.179
1009, 76.037, 64.873
1010, 3.526, 2.223
1011, 12.861, 75.605
1012, 5.360, 38.846
1013, 33.549, 35.612
1014, 61.935, 16.400
1015, 58.870, 29.430
1016, 3.163, 13.827
1017, 28.524, 112.617
1018, 1.593, 2.429
1019, 32.411, 10.734
1020, 1.822, 1.960
1021, 1.326, 7.381
1022, 7.312, 3.213
1023, 12.921, 34.327
1024, 3.243, 15.438
1025, 1.655, 1.128
1026, 2.307, 2.291
1027, 27.289, 19.634
1028, 6.975, 6.176
1029, 2.293, 5.816
1030, 0.971, 9.978
1031, 132.432, 52.797
1032, 28.792, 41.035
1033, 158.946, 46.706
1034, 39.511, 41.785
1035, 90.429, 53.469
1036, 2.750, 29.546
1037, 22.626, 32.419
1038, 8.389, 9.006
1039, 12.835, 32.374
1040, 28.587, 83.612
1041, 22.739, 32.231
1042, 31.374, 5.861
1043, 47.892, 28.228
1044, 7.641, 16.137
1045, 73.504, 45.556
1046, 32.182, 46.174
1047, 3.808, 1.365
1048, 9.119, 53.753
1049, 68.461, 9.629
1050, 35.283, 59.357
1051, 61.936, 49.244
1052, 54.642, 41.035
1053, 26.016, 47.429
1054, 2.952, 4.038
1055, 52.527, 11.134
1056, 17.113, 51.037
1057, 4.734, 2.222
1058, 35.377, 10.189
1059, 81.215, 16.412
1060, 1.054, 0.965
1061, 1.760, 1.034
1062, 0.782, 0.881
1063, 0.782, 15.162
1064, 38.061, 7.801
1065, 24.880, 26.806
1066, 1.915, 13.241
1067, 52.146, 8.285
1068, 54.265, 38.226
1069, 142.132, 121.380
1070, 19.294, 20.511
1071, 10.744, 16.029
1072, 1.800, 2.188
1073, 46.956, 107.458
1074, 110.572, 74.965
1075, 9.318, 13.305
1076, 22.795, 23.662
1077, 59.582, 63.335
1078, 130.127, 108.937
1079, 0.851, 3.529
1080, 3.765, 2.714
1081, 34.828, 33.933
1082, 0.900, 2.090
1083, 49.221, 30.116
1084, 61.612, 11.522
1085, 1.261, 11.651
1086, 24.108, 15.518
1087, 26.585, 90.522
1088, 0.539, 3.262
1089, 0.247, 2.771
1090, 14.701, 51.327
1091, 11.426, 6.997
1092, 1.847, 1.449
1093, 9.096, 52.509
1094, 14.160, 12.772
1095, 2.743, 1.380
1096, 7.335, 1.968
1097, 4.877, 3.610
1098, 4.294, 12.646
1099, 2.274, 2.293
1100, 11.544, 16.686
1101, 6.270, 8.368
1102, 46.661, 18.612
1103, 9.795, 26.949
1104, 26.450, 18.407
1105, 4.596, 7.441
1106, 5.812, 31.653
1107, 1.097, 2.563
1108, 1.166, 1.662
1109, 1.181, 0.982
1110, 22.471, 40.021
1111, 32.233, 16.487
1112, 28.702, 42.981
1113, 34.263, 6.375
1114, 11.700, 53.343
1115, 5.709, 10.955
1116, 19.309, 25.653
1117, 110.226, 67.089
1118, 33.048, 109.703
1119, 72.306, 66.047
1120, 8.421, 21.204
1121, 92.855, 58.232
1122, 35.754, 110.933
1123, 39.463, 11.796
1124, 10.878, 7.808
1125, 1.610, 0.901
1126, 1.559, 0.921
1127, 0.662, 0.876
1128, 4.522, 4.355
1129, 0.665, 0.533
1130, 1.668, 2.374
1131, 9.157, 7.461
1132, 12.441, 7.227
1133, 30.987, 45.924
1134, 8.031, 53.476
1135, 133.790, 57.907
1136, 12.948, 71.620
1137, 88.822, 34.515
1138, 13.704, 37.951
1139, 53.153, 73.867
1140, 62.838, 76.057
1141, 34.565, 37.243
1142, 16.861, 46.282
